"Number of n\electrons n\stored on n\the atoms",C,N,S,P
"0","carbon*__ate__*\ ![](pictures/ElecAlloc_CO32-.png){width=60%}","nitr*__ate__*\ ![](pictures/ElecAlloc_NO3-.png){width=90%}","sulf*__ate__*\ ![](pictures/ElecAlloc_SO42-.png)","phosph*__ate__*\ ![](pictures/ElecAlloc_PO43-.png)"
"1","C#1 pyruvic acid\ ![](pictures/ElecAlloc_pyruvic_acid.png)",,,
"2","C#2 pyruvic acid\ ![](pictures/ElecAlloc_pyruvic_acid.png) carbon monoxide ![](pictures/ElecAlloc_CO.png){width=70%}","nitr*__ite__*\ ![](pictures/ElecAlloc_NO2-.png)","sulf*__ite__*\ ![](pictures/ElecAlloc_SO32-.png) sulfur dioxide \ ![](pictures/ElecAlloc_SO2.png)",
"3","C#1 of glucose\ ![](pictures/ElecAlloc_gluscosetab.png)","N#2 of nitrous oxide\ ![](pictures/ElecAlloc_N2Otab.png)",,
"4","C#2 to C#5 of glucose\ ![](pictures/ElecAlloc_gluscosetab.png)",,,
"5","C#6 of glucose\ ![](pictures/ElecAlloc_gluscosetab.png)","dinitrogen\ ![](pictures/ElecAlloc_N2.png) nitrogen monoxide ![](pictures/ElecAlloc_NO.png) N#1 of nitrous oxide ![](pictures/ElecAlloc_N2Otab.png)",,
"6","C of fatty acid\ ![](pictures/ElecAlloc_fatty_acid.png){width=70%}",,,
"7","pyruvic acid (C#3)\ ![](pictures/ElecAlloc_pyruvic_acid.png)",,,
"8","methane\ ![](pictures/ElecAlloc_CH4.png){width=70%}","ammonium\ ![](pictures/ElecAlloc_NH4+tab.png){width=70%} ammonia ![](pictures/ElecAlloc_NH3.png){width=70%} amine groups in amino-acids ![](pictures/ElecAlloc_cysteinetab.png)","dihydrogen sulfide\ ![](pictures/ElecAlloc_H2S.png) hydrogen sulfide ![](pictures/ElecAlloc_HS-.png) sulfide ![](pictures/ElecAlloc_S2-.png) thiol groups in organic molecules ![](pictures/ElecAlloc_cysteinetab.png)",
