Nb of C,Aldehyde name and formula, Aldehyde Skeletal structure, Ketone name and formula, Ketone skeletal structure
1,"Methan*al*<br> CH~2~O<br>*formaldehyde*","![]("pictures/methanal.png"){width=35%}","",""
2,"Ethan*al*<br> CH~2~-CHO",![]("pictures/ethanal2.png"){width=55%},"",""
3,"Propan*al*<br> CH~3~-CH~2~-CHO",![]("pictures/propanal.png"){width=70%},"Propan*one*<br> CH~3~-CO-CH~3~"<br> *acetone*,![]("pictures/propanone.png"){width=50%}
4,"Butan*al*<br> CH~3~-(CH~2~)~2~-CHO",![]("pictures/butanal.png"){width=87%},"Butan*one*<br> CH~3~-CH~2~-CO-CH~3~",![]("pictures/butanone.png"){width=70%}
5,"Pentan*al*<br> CH~3~-(CH~2~)~3~-CHO",![]("pictures/pentanal.png"){width=100%},"Pentan-2-*one*<br> CH~3~-(CH~2~)~2~-CO-CH~3~",![]("pictures/pentanone.png"){width=85%}
