ID,Texture,pH,OM,Fe_perc,Mn_perc
28,Clay,4.9,2.9,4.7,0.08
35,Clay,3.4,6.6,2.6,0.01
40,Clay,3.8,7.2,1.5,0
57,Clay loam,8.7,2.2,0.63,0.07
94,Clay,6.7,2.6,0.96,0.09
99,Clay loam,7.7,4.8,1.55,0.08
