fermentation via,0,1,2,3,4
lactate,-418.1,-220,-202,-71.3,0
ethanol,-418.1,-183.1,-202,-71.3,0
butyrate,-418.1,-170.1,-202,-71.3,0
propionate,-418.1,-106.7,-202,-71.3,0
homo-acetate,-418.1,-106.9,,,0
