"O2","H2","CO2","N2","He","Ne","Ar","CO","H2S","CH4","NH3"
1700,500,2400,1300,230,490,1300,1300,2100,1600,4200
1.25e-5,7.75e-6,3.35e-4,6.4e-6,3.8e-6,4.45e-6,1.4e-5,9.7e-6,1e-3,1.4e-5,5.9e-1
